Component,Flutter_Widget,Android_Composable,iOS_View,Min_Touch_Target,Default_Height,Padding,Notes
PrimaryButton,ElevatedButton,Button (filled),UIButton (.filled),48dp,48dp,horizontal: 24dp,"Android uses Material ripple; iOS uses highlight state with opacity change"
SecondaryButton,OutlinedButton,OutlinedButton,UIButton (.bordered),48dp,48dp,horizontal: 24dp,"Border width 1dp on Android/Flutter; iOS uses system bordered style with tint color"
TextField,TextFormField,OutlinedTextField,UITextField,48dp,56dp,"horizontal: 16dp, vertical: 12dp","Android shows character counter below; iOS uses inline clear button; Flutter supports both via decoration"
SearchBar,SearchBar / SearchAnchor,SearchBar,UISearchBar,48dp,48dp,horizontal: 16dp,"iOS auto-shows cancel button on focus; Android uses back arrow; Flutter SearchAnchor provides suggestions overlay"
Card,Card,Card,UIView (custom),N/A,variable,"all: 16dp","Android Card has default 1dp elevation; iOS uses shadow with offset; Flutter Card clip behavior differs by shape"
ListItem,ListTile,ListItem,UITableViewCell / UIListContent,48dp,56dp,"horizontal: 16dp, vertical: 8dp","iOS has swipe actions built-in; Android uses Dismissible composable; Flutter ListTile has leading/trailing slots"
BottomSheet,showModalBottomSheet,ModalBottomSheet,UISheetPresentationController,48dp,variable,top: 16dp,"iOS supports detents (.medium/.large); Android has half/full expand; Flutter needs DraggableScrollableSheet for detents"
Dialog,AlertDialog,AlertDialog,UIAlertController,48dp,variable,"all: 24dp","iOS buttons are horizontal by default; Android stacks vertically when text is long; Flutter follows Material spec"
Snackbar,ScaffoldMessenger.showSnackBar,Snackbar,custom UIView / toast,48dp,48dp,"horizontal: 16dp, vertical: 14dp","iOS has no native snackbar — use custom view or SPM package; Android auto-dismisses after 4s; Flutter supports action button"
NavigationBar,NavigationBar,NavigationBar,UITabBarController,48dp,80dp,N/A,"iOS tab bar at bottom with labels; Android supports animated indicator; Flutter NavigationBar replaces BottomNavigationBar"
AppBar,AppBar / SliverAppBar,TopAppBar (Small/Large),UINavigationBar,48dp,"56dp (small), 112dp (large)","horizontal: 16dp","iOS large title collapses on scroll; Android has CenterAligned/MediumTopAppBar variants; Flutter SliverAppBar for collapsing"
FAB,FloatingActionButton,FloatingActionButton,custom UIButton,56dp,56dp,N/A,"iOS has no native FAB — implement as floating UIButton with shadow; position 16dp from edges on all platforms"
Chip,Chip / FilterChip / ActionChip,FilterChip / AssistChip,custom UIView / UIButton,48dp,32dp,"horizontal: 12dp, vertical: 6dp","Android supports checkmark for selection; iOS needs custom implementation; Flutter has InputChip for deletable chips"
Avatar,CircleAvatar,Image (clip Circle),UIImageView (cornerRadius),48dp,40dp,N/A,"Use placeholder initials when image fails to load; Android uses Coil/Glide; iOS uses URLSession or Kingfisher"
LoadingIndicator,CircularProgressIndicator,CircularProgressIndicator,UIActivityIndicatorView / ProgressView,N/A,48dp,N/A,"iOS uses ProgressView with .circular style; Android Material spinner; Flutter supports both determinate and indeterminate"
EmptyState,custom Column widget,custom Composable,custom UIView,N/A,variable,"all: 32dp","Center vertically in scrollable area; include illustration + title + subtitle + optional CTA button on all platforms"
ErrorState,custom Column widget,custom Composable,custom UIView,48dp,variable,"all: 32dp","Always show retry button; use platform error colors; include error code for support; log error details to analytics"
