Category,Platform,Do,Dont,Severity,Reason
touch_target,all,"Make all interactive elements at least 48x48dp/pt","Use touch targets smaller than 44dp/pt",critical,"Small targets cause mis-taps and fail WCAG 2.5.5; 48dp covers finger pad size for 95th percentile"
touch_target,all,"Add at least 8dp spacing between adjacent touch targets","Place tappable elements edge-to-edge without spacing",high,"Adjacent targets without gaps cause accidental activation; Material and HIG both recommend 8dp minimum"
touch_target,ios,"Use UIKit hitTest expansion or contentEdgeInsets for small icons","Rely solely on the visual size of SF Symbols for tap area",high,"SF Symbols render small; HIG requires the tappable area to be at least 44pt regardless of icon size"
navigation,all,"Use consistent navigation patterns throughout the app","Mix bottom tabs with hamburger menus and side drawers in the same app",high,"Inconsistent navigation increases cognitive load and user disorientation; pick one primary pattern"
navigation,android,"Use NavigationBar with 3-5 destinations for top-level navigation","Use more than 5 items in bottom navigation",medium,"Material Design 3 specifies 3-5 destinations; more items compress touch targets and overwhelm users"
navigation,ios,"Support swipe-back gesture on all pushed screens","Override or disable interactivePopGestureRecognizer",critical,"Disabling swipe-back breaks fundamental iOS muscle memory; HIG mandates edge-swipe for navigation stacks"
feedback,all,"Provide immediate visual feedback within 100ms of user interaction","Leave buttons in their default state during async operations",high,"Users perceive >100ms delays as lag; show loading/disabled state instantly then resolve with success/error"
feedback,android,"Use Material ripple effect on all clickable surfaces","Use only color change or no feedback on tap",medium,"Ripple is the expected Android interaction pattern; omitting it makes the app feel non-native"
feedback,ios,"Use haptic feedback (UIImpactFeedbackGenerator) for meaningful actions","Add haptics to every tap — reserve for significant moments",medium,"HIG recommends haptics for confirmations and state changes; overuse desensitizes and annoys users"
loading,all,"Show skeleton screens for content loading instead of spinners","Show a blank screen or only a centered spinner during data load",high,"Skeleton screens reduce perceived wait time by 35%; users understand the layout before content arrives"
loading,all,"Implement optimistic UI updates for user-initiated actions","Wait for server confirmation before updating the UI for simple actions",medium,"Optimistic updates make the app feel instant; roll back gracefully on failure with undo option"
loading,flutter,"Use Shimmer package for skeleton loading animations","Build custom animation controllers for simple loading placeholders",low,"Shimmer package handles performant GPU-based animation; custom solutions risk janky frames on low-end devices"
error_handling,all,"Show actionable error messages with a retry button","Display raw error codes or stack traces to users",critical,"Users cannot interpret technical errors; always provide a human-readable message and a clear recovery path"
error_handling,all,"Implement exponential backoff for automatic retries","Retry failed network requests in a tight loop",high,"Tight loops can DDoS your own backend and drain battery; exponential backoff with jitter is industry standard"
error_handling,ios,"Use UIAlertController for critical errors that block the flow","Show errors only as inline text that users can scroll past",medium,"Critical errors demand user acknowledgment; alerts ensure the error is seen before the user can proceed"
accessibility,all,"Support Dynamic Type / system font scaling up to 200%","Use fixed font sizes that ignore user accessibility preferences",critical,"15% of users adjust text size; ignoring system scale violates WCAG 1.4.4 and platform accessibility guidelines"
accessibility,all,"Ensure all images have contentDescription (Android) or accessibilityLabel (iOS/Flutter)","Leave decorative and informational images without alt text",high,"Screen readers announce images without labels as 'image'; meaningful descriptions enable blind users to understand content"
accessibility,android,"Use Modifier.semantics and Modifier.clearAndSetSemantics in Compose","Rely only on default TalkBack behavior without explicit semantics",medium,"Custom composables need explicit semantics for TalkBack to announce them correctly; Material components handle this automatically"
gesture,all,"Provide a visible button alternative for every swipe or long-press action","Hide destructive actions behind gestures without any visible alternative",critical,"Gesture-only actions are undiscoverable; users with motor impairments cannot perform complex gestures reliably"
gesture,ios,"Support standard iOS gestures: swipe-to-delete and pull-to-refresh","Implement custom gesture recognizers that conflict with system gestures",high,"Conflicting gestures cause unpredictable behavior; use UISwipeActionsConfiguration and UIRefreshControl"
gesture,android,"Use Modifier.swipeable or AnchoredDraggable for dismiss gestures","Implement raw pointer/touch handling for swipe-to-dismiss",medium,"Framework swipeable handles velocity thresholds and snap animations; raw touch math misses edge cases"
typography,all,"Limit to 2 font families maximum across the entire app","Use more than 3 different font families in a single app",high,"Multiple fonts create visual noise and increase bundle size; one serif + one sans-serif is the practical maximum"
typography,all,"Keep body text between 14sp-18sp for comfortable mobile reading","Set body text below 12sp or above 22sp on phone screens",high,"Below 12sp strains eyes; above 22sp wastes space and breaks line rhythm; 16sp is the optimal default"
typography,flutter,"Load Google Fonts asynchronously and provide a fallback system font","Bundle large font files directly in assets without lazy loading",medium,"Bundled fonts increase APK/IPA size by 200-500KB per weight; Google Fonts package caches after first download"
color,all,"Test all color combinations for WCAG AA 4.5:1 contrast ratio","Choose colors based solely on aesthetics without contrast verification",critical,"1 in 12 men has color vision deficiency; low contrast fails WCAG 2.1 AA and excludes visually impaired users"
color,all,"Provide a dark mode theme that uses OLED-friendly true black backgrounds","Use the same color palette for both light and dark themes",high,"Dark mode reduces eye strain and saves battery on OLED screens; colors need re-mapping not just inversion"
color,all,"Use color plus icon/shape to convey status — never color alone","Rely solely on red/green color coding for error/success states",critical,"Color-blind users cannot distinguish red from green; adding icons (checkmark/X) makes status universally readable"
animation,all,"Keep animations under 300ms for transitions and 150ms for micro-interactions","Use animations longer than 500ms for common UI transitions",high,"Long animations feel sluggish and block user flow; Material Motion and HIG both target 250-350ms for page transitions"
animation,all,"Respect prefers-reduced-motion / Reduce Motion accessibility setting","Force animations even when the user has requested reduced motion",critical,"Vestibular disorders cause nausea with motion; ignoring this setting violates WCAG 2.3.3 and platform guidelines"
animation,flutter,"Use AnimatedContainer and ImplicitlyAnimatedWidget for simple transitions","Use explicit AnimationController for every animation including simple ones",low,"Implicit animations are simpler and less error-prone; reserve AnimationController for complex choreographed sequences"
