Token_Name,Category,Flutter_Code,Android_XML,iOS_Swift,Value,Notes
color_primary,color,"Color(0xFF1A3D7C)","@color/color_primary / #1A3D7C","Color.primary / UIColor(hex: ""#1A3D7C"")",#1A3D7C,"Override per app type from mobile-colors.csv"
color_secondary,color,"Color(0xFF0D2B5E)","@color/color_secondary / #0D2B5E","Color.secondary / UIColor(hex: ""#0D2B5E"")",#0D2B5E,"Override per app type from mobile-colors.csv"
color_accent,color,"Color(0xFF00B67A)","@color/color_accent / #00B67A","Color.accent / UIColor(hex: ""#00B67A"")",#00B67A,"Override per app type from mobile-colors.csv"
color_background,color,"Color(0xFFF8F9FA)","@color/color_background / #F8F9FA","Color.background / UIColor(hex: ""#F8F9FA"")",#F8F9FA,"Light theme default; dark theme uses #121212"
color_surface,color,"Color(0xFFFFFFFF)","@color/color_surface / #FFFFFF","Color.surface / UIColor.systemBackground",#FFFFFF,"Card and sheet backgrounds"
color_error,color,"Color(0xFFDC2626)","@color/color_error / #DC2626","Color.error / UIColor(hex: ""#DC2626"")",#DC2626,"Consistent across all app types"
color_on_primary,color,"Color(0xFFFFFFFF)","@color/color_on_primary / #FFFFFF","Color.onPrimary / UIColor.white",#FFFFFF,"Text and icons on primary color surfaces"
spacing_xs,spacing,"EdgeInsets.all(4)","<dimen name=""spacing_xs"">4dp</dimen>","static let xs: CGFloat = 4",4,"Icon padding and tight inline spacing"
spacing_sm,spacing,"EdgeInsets.all(8)","<dimen name=""spacing_sm"">8dp</dimen>","static let sm: CGFloat = 8",8,"Between related elements like label and input"
spacing_md,spacing,"EdgeInsets.all(16)","<dimen name=""spacing_md"">16dp</dimen>","static let md: CGFloat = 16",16,"Standard content padding and section gaps"
spacing_lg,spacing,"EdgeInsets.all(24)","<dimen name=""spacing_lg"">24dp</dimen>","static let lg: CGFloat = 24",24,"Between unrelated sections"
spacing_xl,spacing,"EdgeInsets.all(32)","<dimen name=""spacing_xl"">32dp</dimen>","static let xl: CGFloat = 32",32,"Page margins on tablets and large screen padding"
spacing_2xl,spacing,"EdgeInsets.all(48)","<dimen name=""spacing_2xl"">48dp</dimen>","static let xxl: CGFloat = 48",48,"Hero section spacing and modal insets"
spacing_3xl,spacing,"EdgeInsets.all(64)","<dimen name=""spacing_3xl"">64dp</dimen>","static let xxxl: CGFloat = 64",64,"Full-screen layout vertical padding"
radius_sm,radius,"BorderRadius.circular(4)","<dimen name=""radius_sm"">4dp</dimen>","static let sm: CGFloat = 4",4,"Chips and small badges"
radius_md,radius,"BorderRadius.circular(8)","<dimen name=""radius_md"">8dp</dimen>","static let md: CGFloat = 8",8,"Cards and text fields"
radius_lg,radius,"BorderRadius.circular(12)","<dimen name=""radius_lg"">12dp</dimen>","static let lg: CGFloat = 12",12,"Buttons and dialogs"
radius_xl,radius,"BorderRadius.circular(16)","<dimen name=""radius_xl"">16dp</dimen>","static let xl: CGFloat = 16",16,"Bottom sheets and modals"
radius_full,radius,"BorderRadius.circular(999)","<dimen name=""radius_full"">999dp</dimen>","static let full: CGFloat = 999",999,"Circular avatars and pill-shaped elements"
elevation_none,elevation,"elevation: 0","0dp","shadowOpacity: 0",0,"Flat surfaces with no shadow"
elevation_sm,elevation,"elevation: 1","1dp","shadowOffset: (0; 1); shadowRadius: 2; shadowOpacity: 0.1",1,"Subtle lift for cards at rest"
elevation_md,elevation,"elevation: 4","4dp","shadowOffset: (0; 2); shadowRadius: 4; shadowOpacity: 0.15",4,"Raised cards and navigation bars"
elevation_lg,elevation,"elevation: 8","8dp","shadowOffset: (0; 4); shadowRadius: 8; shadowOpacity: 0.2",8,"FABs and dialogs"
duration_fast,duration,"Duration(milliseconds: 150)","android:duration=""150""","withAnimation(.easeOut(duration: 0.15))",150ms,"Micro-interactions: checkbox toggle; ripple; opacity fade"
duration_normal,duration,"Duration(milliseconds: 300)","android:duration=""300""","withAnimation(.easeInOut(duration: 0.3))",300ms,"Standard transitions: page slide; bottom sheet; modal"
duration_slow,duration,"Duration(milliseconds: 500)","android:duration=""500""","withAnimation(.spring(duration: 0.5))",500ms,"Complex animations: shared element; hero; onboarding"
