App_Type,Architecture,Folder_Structure,Key_Patterns,Anti_Patterns,State_Management_Flutter,State_Management_Android,State_Management_iOS,Test_Priority,Severity
fintech,"Clean Architecture + Feature-first","lib/core/{network,storage,auth,di,theme,utils}/ and lib/features/{auth,accounts,transactions,payments,cards}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Mapper, Sealed Result class, Secure storage abstraction","Storing tokens in SharedPreferences, Skipping input validation on amounts, Direct API calls from UI, Mutable global state for auth","riverpod","viewmodel-stateflow|hilt","combine|async-actor","domain layer use cases and repository contracts",critical
social,"Clean Architecture + Feature-first","lib/core/{network,websocket,auth,di,theme,media}/ and lib/features/{feed,chat,profile,stories,notifications}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Stream-based repos, Pagination handler, WebSocket manager","Fetching entire feed without pagination, Blocking UI thread with image processing, Polling instead of WebSocket for chat, Storing large media blobs in state","bloc","viewmodel-stateflow|hilt","combine|async-actor","presentation layer bloc/event handling and stream subscriptions",high
e-commerce,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,analytics,cart}/ and lib/features/{catalog,product,cart,checkout,orders,reviews}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Cart aggregate, Price calculator service, Deep link handler","Recalculating cart totals in the UI layer, Not persisting cart to local storage, Coupling payment logic to UI, Hardcoding currency formatting","riverpod","viewmodel-stateflow|hilt","combine|swiftui-state","domain layer cart and checkout use cases",critical
health,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,encryption,platform_health}/ and lib/features/{dashboard,vitals,appointments,records,reminders}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Encryption service, Platform health bridge, Offline sync queue","Storing health data unencrypted, Skipping data validation for vitals input, Not handling HealthKit/Health Connect permission denial, Tight coupling to platform health APIs","cubit","viewmodel-stateflow|hilt","combine|async-actor","data layer encryption and platform integration",critical
education,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,video,offline}/ and lib/features/{courses,lessons,quizzes,progress,certificates}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Offline content manager, Progress tracker, Video player abstraction","Downloading all course content at once, Not tracking progress locally before sync, Blocking UI during quiz grading, No resume capability for video playback","bloc","viewmodel-stateflow|hilt","combine|swiftui-state","domain layer progress tracking and offline sync logic",high
enterprise,"Clean Architecture + Feature-first","lib/core/{network,auth,sso,di,theme,rbac,logging}/ and lib/features/{dashboard,approvals,reports,users,settings}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, RBAC guard, Form validator, Audit logger, Multi-tenant resolver","Hardcoding tenant IDs, Checking permissions only in UI, Not logging state transitions for audit, Mixing admin and user flows in same module","riverpod","viewmodel-stateflow|hilt","combine|async-actor","domain layer RBAC and approval workflow use cases",critical
entertainment,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,media_player,drm,cache}/ and lib/features/{browse,player,library,search,downloads}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Media session manager, Cache strategy (LRU), DRM handler, Background playback service","Loading full media files into memory, Not releasing media resources on dispose, Ignoring audio focus/interruption handling, Skipping DRM for preview content","bloc","viewmodel-stateflow|hilt","combine|async-actor","presentation layer media playback state and background service",high
news,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,push,cache}/ and lib/features/{feed,article,bookmarks,search,topics,notifications}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Pagination cursor, Cache invalidation strategy, Deep link router, Read position tracker","Loading all articles at once without pagination, Not caching articles for offline reading, Ignoring deep link state restoration, Blocking render with full HTML parsing","cubit","viewmodel-stateflow|hilt","combine|swiftui-state","data layer caching and pagination logic",medium
productivity,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,sync,realtime,local_db}/ and lib/features/{tasks,calendar,notes,collaboration,settings}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, CRDT-based sync, Conflict resolver, Local-first data layer, Background sync worker","Overwriting remote changes without conflict detection, Not supporting offline creation, Syncing entire dataset instead of deltas, Blocking UI during sync resolution","riverpod","viewmodel-stateflow|hilt","combine|async-actor","domain layer conflict resolution and sync use cases",high
travel,"Clean Architecture + Feature-first","lib/core/{network,auth,di,theme,maps,location,currency}/ and lib/features/{search,booking,itinerary,reviews,explore}/{data/,domain/,presentation/}","Repository pattern, Use case, DI, Map controller abstraction, Currency converter, Offline map tile cache, Booking state machine","Loading full map tile sets on startup, Not caching exchange rates, Tight coupling to Google Maps SDK, Not handling location permission denial gracefully","bloc","viewmodel-stateflow|hilt","combine|swiftui-state","data layer booking state machine and map integration",high
