App_Type,Keywords,Recommended_SM_Flutter,Alternative_SM_Flutter,Recommended_SM_Android,Recommended_SM_iOS,Complexity,Style_Priority,Notes
fintech,"payments, banking, crypto, investments, wallets",riverpod,bloc,viewmodel-stateflow|hilt,combine|async-actor,high,"Clean + Minimal","Security-first with biometric auth; strict error handling and offline caching required"
social,"messaging, feeds, stories, profiles, reactions",bloc,riverpod,viewmodel-stateflow|hilt,combine|async-actor,high,"Vibrant + Bold","Real-time streams and WebSocket connections; complex nested state for feeds and notifications"
e-commerce,"catalog, cart, checkout, orders, reviews",riverpod,bloc,viewmodel-stateflow|hilt,combine|swiftui-state,high,"Polished + Trustworthy","Cart state must persist across sessions; deep linking for product pages and promotions"
health,"tracking, vitals, appointments, records, reminders",cubit,riverpod,viewmodel-stateflow|hilt,combine|async-actor,medium,"Calm + Accessible","HIPAA-aware data handling; accessibility is critical for elderly users; HealthKit/Health Connect integration"
education,"courses, quizzes, progress, certificates, video",bloc,cubit,viewmodel-stateflow|hilt,combine|swiftui-state,medium,"Friendly + Engaging","Offline content download support; progress sync across devices; video streaming with adaptive bitrate"
enterprise,"dashboards, CRM, approvals, reports, SSO",riverpod,bloc,viewmodel-stateflow|hilt,combine|async-actor,high,"Professional + Structured","Multi-tenant architecture; role-based access control; complex form validation and workflow engines"
entertainment,"streaming, music, podcasts, gaming, AR",bloc,riverpod,viewmodel-stateflow|hilt,combine|async-actor,high,"Vibrant + Immersive","Media playback state is complex; background audio; DRM content protection; adaptive streaming"
news,"articles, feeds, bookmarks, notifications, topics",cubit,provider,viewmodel-stateflow|hilt,combine|swiftui-state,medium,"Editorial + Readable","Pagination and infinite scroll; push notification deep links; offline reading mode with text reflow"
productivity,"tasks, calendar, notes, collaboration, sync",riverpod,bloc,viewmodel-stateflow|hilt,combine|async-actor,medium,"Clean + Focused","Real-time collaboration requires conflict resolution; widget/extension support on both platforms"
travel,"booking, maps, itinerary, reviews, currency",bloc,riverpod,viewmodel-stateflow|hilt,combine|swiftui-state,medium,"Inspiring + Visual","Heavy map integration; multi-currency support; offline maps and itineraries for no-connectivity zones"
